id,class_name,start_time,start_time_tag,duration_value,duration_tag,health_club_name,area,address,attendance_mode,sport_catalog,muscle_group,audience_type
c45,Step gevorderd - Sydney,2022-10-12T09:00:06+02:00,Morning,60,Normal,Palestra Sports,West,Marius Bauerstraat 233 1062 AH Amsterdam,Offline,"Fitness, Pilates","Booty, Legs",Intermediate
c46,Step & Shape,2022-10-12T09:30:00+02:00,Morning,50,Normal,Olympic Gym Amsterdam,Zuid,Olympisch Stadion 23 1076 DE Amsterdam,Offline,"Bootcamp, Fitness, Other","Booty, Legs",Beginner
c47,Pole Dance Flow |107|,2022-10-12T10:30:00+02:00,Morning,60,Normal,Dance For Your Pole,Centrum,Tussen de Bogen 107 1013JB Amsterdam,Offline,Pole dance,Full body,Beginner
c48,STEP ADVANCED,2022-10-12T17:30:00+02:00,Afternoon,60,Normal,Health Club Jordaan,Centrum,Eerste Rozendwarsstraat 10 1016 PC Amsterdam,Offline,"Dance, Other","Booty, Legs",Advanced
c49,STEPS,2022-10-12T18:00:00+02:00,Afternoon,60,Normal,Louiszoon Health Club Amsterdam,West,Eliza van Calcarstraat 2 1068 RR Amsterdam,Offline,"Bootcamp, Boxing, Cycling, Dance, Fitness, Pilates, Yoga","Booty, Legs",Beginner
c50,Abs Legs and Butt Workout,2022-10-12T18:00:00+02:00,Afternoon,45,Normal,Fight District,Centrum,Danzigerbocht 45A 1013 AM Amsterdam,Offline,"Bbb, Boxing, Hiit, Kickboxing, Other","Booty, Legs",Beginner
c51,step advanced,2022-10-12T18:00:00+02:00,Afternoon,60,Normal,Splash,Centrum,Lijnbaansgracht 241 1017 PH Amsterdam,Offline,"Bootcamp, Boxing, Cycling, Dance, Fitness, Other, Pilates, Yoga","Booty, Legs",Advanced
c52,FC Urban Amsterdam,2022-10-12T19:00:00+02:00,Evening,60,Normal,FC Urban Amsterdam,Noord,Tt. Vasumweg 61 61  1033 SE Amsterdam,Offline,Fun,Full body,Beginner
c53,Open Gym,2022-10-12T19:00:00+02:00,Evening,60,Normal,Double Shift,Centrum,Lauriergracht 102H 1016 RP Amsterdam,Offline,"Fitness, Other","Arms, Legs",Beginner
c54,W.O.D.,2022-10-12T20:00:00+02:00,Evening,50,Normal,The Workout Studio - B,Zuid,Albert Cuypstraat 116B 1072 CZ Amsterdam,Offline,Bootcamp,Full body,Intermediate
c55,Bodyshape by Miguel,2022-10-13T08:00:00+02:00,Morning,60,Normal,Gym3,Other,Zetterij 3 1185 ZZ Amstelveen,Offline,"Bootcamp, Boxing, Fitness, Martial arts",Full body,Beginner
c56,Massage Intense,2022-10-13T10:00:00+02:00,Morning,30,Short,Relax Lounge,Centrum,Kerkstraat 163 1017 GG Amsterdam,Offline,"Fitness, Mindfulness, Other, Wellness",Full body,Beginner
